competition_id,match_id,match_date,match_name,result,fifa_ranking,cat_code,team_cat,venue
288898,143176,2024-10-23,Poland - Brazil,,yes,FU17WWC,U17,Estadio Cibao FC
288898,143179,2024-10-26,1C - 2D,,yes,FU17WWC,U17,Estadio Cibao FC
288898,143155,2024-10-16,Dominican Republic - Ecuador,0-2,yes,FU17WWC,U17,Estadio Cibao FC
288898,143160,2024-10-16,Spain - USA,3-1,yes,FU17WWC,U17,Estadio Olímpico Félix Sánchez
288898,143175,2024-10-20,Zambia - Poland,0-2,yes,FU17WWC,U17,Estadio Olímpico Félix Sánchez
288898,143166,2024-10-17,Korea DPR - Mexico,4-1,yes,FU17WWC,U17,Estadio Cibao FC
288898,143164,2024-10-22,Colombia - Spain,1-2,yes,FU17WWC,U17,Estadio Olímpico Félix Sánchez
288898,143184,2024-11-03,RU29 - RU30,,yes,FU17WWC,U17,Estadio Olímpico Félix Sánchez
288898,143183,2024-10-31,W26 - W28,,yes,FU17WWC,U17,Estadio Olímpico Félix Sánchez
288898,143174,2024-10-20,Japan - Brazil,2-1,yes,FU17WWC,U17,Estadio Olímpico Félix Sánchez
288898,143185,2024-11-03,W29 - W30,,yes,FU17WWC,U17,Estadio Olímpico Félix Sánchez
288898,143165,2024-10-22,USA - Korea Republic,5-0,yes,FU17WWC,U17,Estadio Cibao FC
288898,143159,2024-10-22,Nigeria - Dominican Republic,1-0,yes,FU17WWC,U17,Estadio Olímpico Félix Sánchez
288898,143161,2024-10-16,Korea Republic - Colombia,1-1,yes,FU17WWC,U17,Estadio Olímpico Félix Sánchez
288898,143168,2024-10-20,Korea DPR - Kenya,3-0,yes,FU17WWC,U17,Estadio Cibao FC
288898,143170,2024-10-23,England - Korea DPR,,yes,FU17WWC,U17,Estadio Cibao FC
288898,143172,2024-10-17,Japan - Poland,0-0,yes,FU17WWC,U17,Estadio Olímpico Félix Sánchez
288898,143178,2024-10-26,Nigeria - USA,,yes,FU17WWC,U17,Estadio Cibao FC
288898,143181,2024-10-27,1D - 2C,,yes,FU17WWC,U17,Estadio Olímpico Félix Sánchez
288898,143180,2024-10-27,Spain - Ecuador,,yes,FU17WWC,U17,Estadio Olímpico Félix Sánchez
288898,143157,2024-10-19,Dominican Republic - New Zealand,1-1,yes,FU17WWC,U17,Estadio Cibao FC
288898,143177,2024-10-23,Zambia - Japan,,yes,FU17WWC,U17,Estadio Olímpico Félix Sánchez
288898,143171,2024-10-23,Mexico - Kenya,,yes,FU17WWC,U17,Estadio Olímpico Félix Sánchez
288898,143158,2024-10-22,Ecuador - New Zealand,4-0,yes,FU17WWC,U17,Estadio Cibao FC
288898,143163,2024-10-19,Colombia - USA,0-2,yes,FU17WWC,U17,Estadio Olímpico Félix Sánchez
288898,143156,2024-10-19,Nigeria - Ecuador,4-0,yes,FU17WWC,U17,Estadio Cibao FC
288898,143167,2024-10-17,Kenya - England,0-2,yes,FU17WWC,U17,Estadio Cibao FC
288898,143154,2024-10-16,New Zealand - Nigeria,1-4,yes,FU17WWC,U17,Estadio Cibao FC
288898,143173,2024-10-17,Brazil - Zambia,1-0,yes,FU17WWC,U17,Estadio Olímpico Félix Sánchez
288898,143169,2024-10-20,England - Mexico,4-2,yes,FU17WWC,U17,Estadio Cibao FC
288898,143182,2024-10-30,W25 - W27,,yes,FU17WWC,U17,Estadio Cibao FC
288898,143162,2024-10-19,Spain - Korea Republic,5-0,yes,FU17WWC,U17,Estadio Olímpico Félix Sánchez
